Genotype Test Result for SLCO1B1,Coded Genotype/Phenotype Summarya,EHR Priority Result Notationb,,,,,,,
*1b/*20,Indeterminate,None,,,,,,,
*1b/*21,Indeterminate,None,,,,,,,
*1b/*22,Indeterminate,None,,,,,,,
*1b/*23,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1b/*24,Indeterminate,None,,,,,,,
*1b/*25,Indeterminate,None,,,,,,,
*1b/*26,Indeterminate,None,,,,,,,
*1b/*27,Indeterminate,None,,,,,,,
*1b/*28,Indeterminate,None,,,,,,,
*1b/*29,Indeterminate,None,,,,,,,
*1b/*30,Indeterminate,None,,,,,,,
*1b/*31,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1b/*32,Indeterminate,None,,,,,,,
*1b/*33,Indeterminate,None,,,,,,,
*1b/*34,Indeterminate,None,,,,,,,
*1b/*35,SLCO1B1 - Possible Increased Function,None,,,,,,,
*1b/*36,Indeterminate,None,,,,,,,
*2/*2,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*2/*3,SLCO1B1- Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*2/*4,Indeterminate,None,,,,,,,
*2/*5,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*2/*6,SLCO1B1- Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*2/*7,Indeterminate,None,,,,,,,
*2/*8,Indeterminate,None,,,,,,,
*2/*9,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*2/*10,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*2/*11,Indeterminate,None,,,,,,,
*2/*12,Indeterminate,None,,,,,,,
*2/*13,Indeterminate,None,,,,,,,
*2/*14,Indeterminate,None,,,,,,,
*2/*15,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*2/*16,Indeterminate,None,,,,,,,
*2/*17,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*2/*18,Indeterminate,None,,,,,,,
*2/*19,Indeterminate,None,,,,,,,
*2/*20,Indeterminate,None,,,,,,,
*2/*21,Indeterminate,None,,,,,,,
*2/*22,Indeterminate,None,,,,,,,
*2/*23,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*2/*24,Indeterminate,None,,,,,,,
*2/*25,Indeterminate,None,,,,,,,
*2/*26,Indeterminate,None,,,,,,,
*2/*27,Indeterminate,None,,,,,,,
*2/*28,Indeterminate,None,,,,,,,
*2/*29,Indeterminate,None,,,,,,,
*2/*30,Indeterminate,None,,,,,,,
*2/*31,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*2/*32,Indeterminate,None,,,,,,,
*2/*33,Indeterminate,None,,,,,,,
*2/*34,Indeterminate,None,,,,,,,
*2/*35,Indeterminate,None,,,,,,,
*2/*36,Indeterminate,None,,,,,,,
*3/*3,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*3/*4,Indeterminate,None,,,,,,,
*3/*5,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*3/*6,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*3/*7,Indeterminate,None,,,,,,,
*3/*8,Indeterminate,None,,,,,,,
*3/*9,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*3/*10,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*3/*11,Indeterminate,None,,,,,,,
*3/*12,Indeterminate,None,,,,,,,
*3/*13,Indeterminate,None,,,,,,,
*3/*14,Indeterminate,None,,,,,,,
*3/*15,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*3/*16,Indeterminate,None,,,,,,,
*3/*17,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*3/*18,Indeterminate,None,,,,,,,
*3/*19,Indeterminate,None,,,,,,,
*3/*20,Indeterminate,None,,,,,,,
*3/*21,Indeterminate,None,,,,,,,
*3/*22,Indeterminate,None,,,,,,,
*3/*23,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*3/*24,Indeterminate,None,,,,,,,
*3/*25,Indeterminate,None,,,,,,,
*3/*26,Indeterminate,None,,,,,,,
*3/*27,Indeterminate,None,,,,,,,
*3/*28,Indeterminate,None,,,,,,,
*3/*29,Indeterminate,None,,,,,,,
*3/*30,Indeterminate,None,,,,,,,
*3/*31,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*3/*32,Indeterminate,None,,,,,,,
*3/*33,Indeterminate,None,,,,,,,
*3/*34,Indeterminate,None,,,,,,,
*3/*35,Indeterminate,None,,,,,,,
*3/*36,Indeterminate,None,,,,,,,
*4/*4,Indeterminate,None,,,,,,,
*4/*5,Indeterminate,None,,,,,,,
*4/*6,Indeterminate,None,,,,,,,
*4/*7,Indeterminate,None,,,,,,,
*4/*8,Indeterminate,None,,,,,,,
*4/*9,Indeterminate,None,,,,,,,
*4/*10,Indeterminate,None,,,,,,,
*4/*11,Indeterminate,None,,,,,,,
*4/*12,Indeterminate,None,,,,,,,
*4/*13,Indeterminate,None,,,,,,,
*4/*14,Indeterminate,None,,,,,,,
*4/*15,Indeterminate,None,,,,,,,
*4/*16,Indeterminate,None,,,,,,,
*4/*17,Indeterminate,None,,,,,,,
*4/*18,Indeterminate,None,,,,,,,
*4/*19,Indeterminate,None,,,,,,,
*4/*20,Indeterminate,None,,,,,,,
*4/*21,Indeterminate,None,,,,,,,
*4/*22,Indeterminate,None,,,,,,,
*4/*23,Indeterminate,None,,,,,,,
*4/*24,Indeterminate,None,,,,,,,
*4/*25,Indeterminate,None,,,,,,,
*4/*26,Indeterminate,None,,,,,,,
*4/*27,Indeterminate,None,,,,,,,
*4/*28,Indeterminate,None,,,,,,,
*4/*29,Indeterminate,None,,,,,,,
*4/*30,Indeterminate,None,,,,,,,
*4/*31,Indeterminate,None,,,,,,,
*4/*32,Indeterminate,None,,,,,,,
*4/*33,Indeterminate,None,,,,,,,
*4/*34,Indeterminate,None,,,,,,,
*4/*35,Indeterminate,None,,,,,,,
*4/*36,Indeterminate,None,,,,,,,
*5/*5,SLCO1B1 - Low Function,Abnormal/Priority/High Risk,,,,,,,
*5/*6,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*5/*7,Indeterminate,None,,,,,,,
*5/*8,Indeterminate,None,,,,,,,
*5/*9,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*5/*10,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*5/*11,Indeterminate,None,,,,,,,
*5/*12,Indeterminate,None,,,,,,,
*5/*13,Indeterminate,None,,,,,,,
*5/*14,Indeterminate,None,,,,,,,
*5/*15,SLCO1B1 - Low Function,Abnormal/Priority/High Risk,,,,,,,
*5/*16,Indeterminate,None,,,,,,,
*5/*17,SLCO1B1 - Low Function,Abnormal/Priority/High Risk,,,,,,,
*5/*18,Indeterminate,None,,,,,,,
*5/*19,Indeterminate,None,,,,,,,
*5/*20,Indeterminate,None,,,,,,,
*5/*21,Indeterminate,None,,,,,,,
*5/*22,Indeterminate,None,,,,,,,
*5/*23,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*5/*24,Indeterminate,None,,,,,,,
*5/*25,Indeterminate,None,,,,,,,
*5/*26,Indeterminate,None,,,,,,,
*5/*27,Indeterminate,None,,,,,,,
*5/*28,Indeterminate,None,,,,,,,
*5/*29,Indeterminate,None,,,,,,,
*5/*30,Indeterminate,None,,,,,,,
*5/*31,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*5/*32,Indeterminate,None,,,,,,,
*5/*33,Indeterminate,None,,,,,,,
*5/*34,Indeterminate,None,,,,,,,
*5/*35,Indeterminate,None,,,,,,,
*5/*36,Indeterminate,None,,,,,,,
*6/*6,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*6/*7,Indeterminate,None,,,,,,,
*6/*8,Indeterminate,None,,,,,,,
*6/*9,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*6/*10,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*6/*11,Indeterminate,None,,,,,,,
*6/*12,Indeterminate,None,,,,,,,
*6/*13,Indeterminate,None,,,,,,,
*6/*14,Indeterminate,None,,,,,,,
*6/*15,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*6/*16,Indeterminate,None,,,,,,,
*6/*17,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*6/*18,Indeterminate,None,,,,,,,
*6/*19,Indeterminate,None,,,,,,,
*6/*20,Indeterminate,None,,,,,,,
*6/*21,Indeterminate,None,,,,,,,
*6/*22,Indeterminate,None,,,,,,,
*6/*23,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*6/*24,Indeterminate,None,,,,,,,
*6/*25,Indeterminate,None,,,,,,,
*6/*26,Indeterminate,None,,,,,,,
*6/*27,Indeterminate,None,,,,,,,
*6/*28,Indeterminate,None,,,,,,,
*6/*29,Indeterminate,None,,,,,,,
*6/*30,Indeterminate,None,,,,,,,
*6/*31,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*6/*32,Indeterminate,None,,,,,,,
*6/*33,Indeterminate,None,,,,,,,
*6/*34,Indeterminate,None,,,,,,,
*6/*35,Indeterminate,None,,,,,,,
*6/*36,Indeterminate,None,,,,,,,
*7/*7,Indeterminate,None,,,,,,,
*7/*8,Indeterminate,None,,,,,,,
*7/*9,Indeterminate,None,,,,,,,
*7/*10,Indeterminate,None,,,,,,,
*7/*11,Indeterminate,None,,,,,,,
*7/*12,Indeterminate,None,,,,,,,
*7/*13,Indeterminate,None,,,,,,,
*7/*14,Indeterminate,None,,,,,,,
*7/*15,Indeterminate,None,,,,,,,
*7/*16,Indeterminate,None,,,,,,,
*7/*17,Indeterminate,None,,,,,,,
*7/*18,Indeterminate,None,,,,,,,
*7/*19,Indeterminate,None,,,,,,,
*7/*20,Indeterminate,None,,,,,,,
*7/*21,Indeterminate,None,,,,,,,
*7/*22,Indeterminate,None,,,,,,,
*7/*23,Indeterminate,None,,,,,,,
*7/*24,Indeterminate,None,,,,,,,
*7/*25,Indeterminate,None,,,,,,,
*7/*26,Indeterminate,None,,,,,,,
*7/*27,Indeterminate,None,,,,,,,
*7/*28,Indeterminate,None,,,,,,,
*7/*29,Indeterminate,None,,,,,,,
*7/*30,Indeterminate,None,,,,,,,
*7/*31,Indeterminate,None,,,,,,,
*7/*32,Indeterminate,None,,,,,,,
*7/*33,Indeterminate,None,,,,,,,
*7/*34,Indeterminate,None,,,,,,,
*7/*35,Indeterminate,None,,,,,,,
*7/*36,Indeterminate,None,,,,,,,
*8/*8,Indeterminate,None,,,,,,,
*8/*9,Indeterminate,None,,,,,,,
*8/*10,Indeterminate,None,,,,,,,
*8/*11,Indeterminate,None,,,,,,,
*8/*12,Indeterminate,None,,,,,,,
*8/*13,Indeterminate,None,,,,,,,
*8/*14,Indeterminate,None,,,,,,,
*8/*15,Indeterminate,None,,,,,,,
*8/*16,Indeterminate,None,,,,,,,
*8/*17,Indeterminate,None,,,,,,,
*8/*18,Indeterminate,None,,,,,,,
*8/*19,Indeterminate,None,,,,,,,
*8/*20,Indeterminate,None,,,,,,,
*8/*21,Indeterminate,None,,,,,,,
*8/*22,Indeterminate,None,,,,,,,
*8/*23,Indeterminate,None,,,,,,,
*8/*24,Indeterminate,None,,,,,,,
*8/*25,Indeterminate,None,,,,,,,
*8/*26,Indeterminate,None,,,,,,,
*8/*27,Indeterminate,None,,,,,,,
*8/*28,Indeterminate,None,,,,,,,
*8/*29,Indeterminate,None,,,,,,,
*8/*30,Indeterminate,None,,,,,,,
*8/*31,Indeterminate,None,,,,,,,
*8/*32,Indeterminate,None,,,,,,,
*8/*33,Indeterminate,None,,,,,,,
*8/*34,Indeterminate,None,,,,,,,
*8/*35,Indeterminate,None,,,,,,,
*8/*36,Indeterminate,None,,,,,,,
*9/*9,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*9/*10,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*9/*11,Indeterminate,None,,,,,,,
*9/*12,Indeterminate,None,,,,,,,
*9/*13,Indeterminate,None,,,,,,,
*9/*14,Indeterminate,None,,,,,,,
*9/*15,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*9/*16,Indeterminate,None,,,,,,,
*9/*17,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*9/*18,Indeterminate,None,,,,,,,
*9/*19,Indeterminate,None,,,,,,,
*9/*20,Indeterminate,None,,,,,,,
*9/*21,Indeterminate,None,,,,,,,
*9/*22,Indeterminate,None,,,,,,,
*9/*23,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*9/*24,Indeterminate,None,,,,,,,
*9/*25,Indeterminate,None,,,,,,,
*9/*26,Indeterminate,None,,,,,,,
*9/*27,Indeterminate,None,,,,,,,
*9/*28,Indeterminate,None,,,,,,,
*9/*29,Indeterminate,None,,,,,,,
*9/*30,Indeterminate,None,,,,,,,
*9/*31,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*9/*32,Indeterminate,None,,,,,,,
*9/*33,Indeterminate,None,,,,,,,
*9/*34,Indeterminate,None,,,,,,,
*9/*35,Indeterminate,None,,,,,,,
*9/*36,Indeterminate,None,,,,,,,
*10/*10,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*10/*11,Indeterminate,None,,,,,,,
*10/*12,Indeterminate,None,,,,,,,
*10/*13,Indeterminate,None,,,,,,,
*10/*14,Indeterminate,None,,,,,,,
*10/*15,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*10/*16,Indeterminate,None,,,,,,,
*10/*17,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*10/*18,Indeterminate,None,,,,,,,
*10/*19,Indeterminate,None,,,,,,,
*10/*20,Indeterminate,None,,,,,,,
*10/*21,Indeterminate,None,,,,,,,
*10/*22,Indeterminate,None,,,,,,,
*10/*23,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*10/*24,Indeterminate,None,,,,,,,
*10/*25,Indeterminate,None,,,,,,,
*10/*26,Indeterminate,None,,,,,,,
*10/*27,Indeterminate,None,,,,,,,
*10/*28,Indeterminate,None,,,,,,,
*10/*29,Indeterminate,None,,,,,,,
*10/*30,Indeterminate,None,,,,,,,
*10/*31,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*10/*32,Indeterminate,None,,,,,,,
*10/*33,Indeterminate,None,,,,,,,
*10/*34,Indeterminate,None,,,,,,,
*10/*35,Indeterminate,None,,,,,,,
*10/*36,Indeterminate,None,,,,,,,
*11/*11,Indeterminate,None,,,,,,,
*11/*12,Indeterminate,None,,,,,,,
*11/*13,Indeterminate,None,,,,,,,
*11/*14,Indeterminate,None,,,,,,,
*11/*15,Indeterminate,None,,,,,,,
*11/*16,Indeterminate,None,,,,,,,
*11/*17,Indeterminate,None,,,,,,,
*11/*18,Indeterminate,None,,,,,,,
*11/*19,Indeterminate,None,,,,,,,
*11/*20,Indeterminate,None,,,,,,,
*11/*21,Indeterminate,None,,,,,,,
*11/*22,Indeterminate,None,,,,,,,
*11/*23,Indeterminate,None,,,,,,,
*11/*24,Indeterminate,None,,,,,,,
*11/*25,Indeterminate,None,,,,,,,
*11/*26,Indeterminate,None,,,,,,,
*11/*27,Indeterminate,None,,,,,,,
*11/*28,Indeterminate,None,,,,,,,
*11/*29,Indeterminate,None,,,,,,,
*11/*30,Indeterminate,None,,,,,,,
*11/*31,Indeterminate,None,,,,,,,
*11/*32,Indeterminate,None,,,,,,,
*11/*33,Indeterminate,None,,,,,,,
*11/*34,Indeterminate,None,,,,,,,
*11/*35,Indeterminate,None,,,,,,,
*11/*36,Indeterminate,None,,,,,,,
*12/*12,Indeterminate,None,,,,,,,
*12/*13,Indeterminate,None,,,,,,,
*12/*14,Indeterminate,None,,,,,,,
*12/*15,Indeterminate,None,,,,,,,
*12/*16,Indeterminate,None,,,,,,,
*12/*17,Indeterminate,None,,,,,,,
*12/*18,Indeterminate,None,,,,,,,
*12/*19,Indeterminate,None,,,,,,,
*12/*20,Indeterminate,None,,,,,,,
*12/*21,Indeterminate,None,,,,,,,
*12/*22,Indeterminate,None,,,,,,,
*12/*23,Indeterminate,None,,,,,,,
*12/*24,Indeterminate,None,,,,,,,
*12/*25,Indeterminate,None,,,,,,,
*12/*26,Indeterminate,None,,,,,,,
*12/*27,Indeterminate,None,,,,,,,
*12/*28,Indeterminate,None,,,,,,,
*12/*29,Indeterminate,None,,,,,,,
*12/*30,Indeterminate,None,,,,,,,
*12/*31,Indeterminate,None,,,,,,,
*12/*32,Indeterminate,None,,,,,,,
*12/*33,Indeterminate,None,,,,,,,
*12/*34,Indeterminate,None,,,,,,,
*12/*35,Indeterminate,None,,,,,,,
*12/*36,Indeterminate,None,,,,,,,
*13/*13,Indeterminate,None,,,,,,,
*13/*14,Indeterminate,None,,,,,,,
*13/*15,Indeterminate,None,,,,,,,
*13/*16,Indeterminate,None,,,,,,,
*13/*17,Indeterminate,None,,,,,,,
*13/*18,Indeterminate,None,,,,,,,
*13/*19,Indeterminate,None,,,,,,,
*13/*20,Indeterminate,None,,,,,,,
*13/*21,Indeterminate,None,,,,,,,
*13/*22,Indeterminate,None,,,,,,,
*13/*23,Indeterminate,None,,,,,,,
*13/*24,Indeterminate,None,,,,,,,
*13/*25,Indeterminate,None,,,,,,,
*13/*26,Indeterminate,None,,,,,,,
*13/*27,Indeterminate,None,,,,,,,
*13/*28,Indeterminate,None,,,,,,,
*13/*29,Indeterminate,None,,,,,,,
*13/*30,Indeterminate,None,,,,,,,
*13/*31,Indeterminate,None,,,,,,,
*13/*32,Indeterminate,None,,,,,,,
*13/*33,Indeterminate,None,,,,,,,
*13/*34,Indeterminate,None,,,,,,,
*13/*35,Indeterminate,None,,,,,,,
*13/*36,Indeterminate,None,,,,,,,
*14/*14,SLCO1B1 - Possible Increased Function,None,,,,,,,
*14/*15,Indeterminate,None,,,,,,,
*14/*16,Indeterminate,None,,,,,,,
*14/*17,Indeterminate,None,,,,,,,
*14/*18,Indeterminate,None,,,,,,,
*14/*19,Indeterminate,None,,,,,,,
*14/*20,Indeterminate,None,,,,,,,
*14/*21,Indeterminate,None,,,,,,,
*14/*22,Indeterminate,None,,,,,,,
*14/*23,Indeterminate,None,,,,,,,
*14/*24,Indeterminate,None,,,,,,,
*14/*25,Indeterminate,None,,,,,,,
*14/*26,Indeterminate,None,,,,,,,
*14/*27,Indeterminate,None,,,,,,,
*14/*28,Indeterminate,None,,,,,,,
*14/*29,Indeterminate,None,,,,,,,
*14/*30,Indeterminate,None,,,,,,,
*14/*31,Indeterminate,None,,,,,,,
*14/*32,Indeterminate,None,,,,,,,
*14/*33,Indeterminate,None,,,,,,,
*14/*34,Indeterminate,None,,,,,,,
*14/*35,Indeterminate,None,,,,,,,
*14/*36,Indeterminate,None,,,,,,,
*15/*15,SLCO1B1 - Low Function,Abnormal/Priority/High Risk,,,,,,,
*15/*16,Indeterminate,None,,,,,,,
*15/*17,SLCO1B1 - Low Function,Abnormal/Priority/High Risk,,,,,,,
*15/*18,Indeterminate,None,,,,,,,
*15/*19,Indeterminate,None,,,,,,,
*15/*20,Indeterminate,None,,,,,,,
*15/*21,Indeterminate,None,,,,,,,
*15/*22,Indeterminate,None,,,,,,,
*15/*23,SLCO1B1 -Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*15/*24,Indeterminate,None,,,,,,,
*15/*25,Indeterminate,None,,,,,,,
*15/*26,Indeterminate,None,,,,,,,
*15/*27,Indeterminate,None,,,,,,,
*15/*28,Indeterminate,None,,,,,,,
*15/*29,Indeterminate,None,,,,,,,
*15/*30,Indeterminate,None,,,,,,,
*15/*31,SLCO1B1 -Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*15/*32,Indeterminate,None,,,,,,,
*15/*33,Indeterminate,None,,,,,,,
*15/*34,Indeterminate,None,,,,,,,
*15/*35,Indeterminate,None,,,,,,,
*15/*36,Indeterminate,None,,,,,,,
*16/*16,Indeterminate,None,,,,,,,
*16/*17,Indeterminate,None,,,,,,,
*16/*18,Indeterminate,None,,,,,,,
*16/*19,Indeterminate,None,,,,,,,
*16/*20,Indeterminate,None,,,,,,,
*16/*21,Indeterminate,None,,,,,,,
*16/*22,Indeterminate,None,,,,,,,
*16/*23,Indeterminate,None,,,,,,,
*16/*24,Indeterminate,None,,,,,,,
*16/*25,Indeterminate,None,,,,,,,
*16/*26,Indeterminate,None,,,,,,,
*16/*27,Indeterminate,None,,,,,,,
*16/*28,Indeterminate,None,,,,,,,
*16/*29,Indeterminate,None,,,,,,,
*16/*30,Indeterminate,None,,,,,,,
*16/*31,Indeterminate,None,,,,,,,
*16/*32,Indeterminate,None,,,,,,,
*16/*33,Indeterminate,None,,,,,,,
*16/*34,Indeterminate,None,,,,,,,
*16/*35,Indeterminate,None,,,,,,,
*16/*36,Indeterminate,None,,,,,,,
*17/*17,SLCO1B1 - Low Function,Abnormal/Priority/High Risk,,,,,,,
*17/*18,Indeterminate,None,,,,,,,
*17/*19,Indeterminate,None,,,,,,,
*17/*20,Indeterminate,None,,,,,,,
*17/*21,Indeterminate,None,,,,,,,
*17/*22,Indeterminate,None,,,,,,,
*17/*23,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*17/*24,Indeterminate,None,,,,,,,
*17/*25,Indeterminate,None,,,,,,,
*17/*26,Indeterminate,None,,,,,,,
*17/*27,Indeterminate,None,,,,,,,
*17/*28,Indeterminate,None,,,,,,,
*17/*29,Indeterminate,None,,,,,,,
*17/*30,Indeterminate,None,,,,,,,
*17/*31,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*17/*32,Indeterminate,None,,,,,,,
*17/*33,Indeterminate,None,,,,,,,
*17/*34,Indeterminate,None,,,,,,,
*17/*35,Indeterminate,None,,,,,,,
*17/*36,Indeterminate,None,,,,,,,
*18/*18,Indeterminate,None,,,,,,,
*18/*19,Indeterminate,None,,,,,,,
*18/*20,Indeterminate,None,,,,,,,
*18/*21,Indeterminate,None,,,,,,,
*18/*22,Indeterminate,None,,,,,,,
*18/*23,Indeterminate,None,,,,,,,
*18/*24,Indeterminate,None,,,,,,,
*18/*25,Indeterminate,None,,,,,,,
*18/*26,Indeterminate,None,,,,,,,
*18/*27,Indeterminate,None,,,,,,,
*18/*28,Indeterminate,None,,,,,,,
*18/*29,Indeterminate,None,,,,,,,
*18/*30,Indeterminate,None,,,,,,,
*18/*31,Indeterminate,None,,,,,,,
*18/*32,Indeterminate,None,,,,,,,
*18/*33,Indeterminate,None,,,,,,,
*18/*34,Indeterminate,None,,,,,,,
*18/*35,Indeterminate,None,,,,,,,
*18/*36,Indeterminate,None,,,,,,,
*19/*19,Indeterminate,None,,,,,,,
*19/*20,Indeterminate,None,,,,,,,
*19/*21,Indeterminate,None,,,,,,,
*19/*22,Indeterminate,None,,,,,,,
*19/*23,Indeterminate,None,,,,,,,
*19/*24,Indeterminate,None,,,,,,,
*19/*25,Indeterminate,None,,,,,,,
*19/*26,Indeterminate,None,,,,,,,
*19/*27,Indeterminate,None,,,,,,,
*19/*28,Indeterminate,None,,,,,,,
*19/*29,Indeterminate,None,,,,,,,
*19/*30,Indeterminate,None,,,,,,,
*19/*31,Indeterminate,None,,,,,,,
*19/*32,Indeterminate,None,,,,,,,
*19/*33,Indeterminate,None,,,,,,,
*19/*34,Indeterminate,None,,,,,,,
*19/*35,Indeterminate,None,,,,,,,
*19/*36,Indeterminate,None,,,,,,,
